Wavelength (nm)	D2O loss (dB/m)
180	68.9820091
182	67.34082435
184	72.69068964
186	137.2424875
188	132.305465
190	111.6768249
192	91.7012748
194	74.94001795
196	60.49119391
198	49.52209894
200	41.01649367
202	35.00146165
204	30.43742111
206	26.96509791
208	24.41725116
210	22.32887499
212	20.48486781
214	18.86091341
216	17.42199711
218	16.17247593
220	14.87030683
222	13.65519023
224	12.51856905
226	11.55686114
228	10.73410737
230	10.0702432
232	9.513455195
234	9.073770092
236	8.659224583
238	8.25171945
240	7.995687932
242	7.675897987
244	7.451460358
246	7.210562437
248	6.974383096
250	6.748272718
252	6.556808968
254	6.338166322
256	6.061514537
258	5.86841815
260	5.676024098
262	5.489768497
264	5.351751418
266	5.207383335
268	5.068626207
270	4.957238388
272	4.825642461
274	4.77063886
276	4.636571277
278	4.527737555
280	4.444250395
282	4.257887876
284	4.185284144
286	4.040411962
288	3.912362252
290	3.825287553
292	3.646674848
294	3.498491253
296	3.459117681
298	3.346672354
300	3.277622717
302	3.161431592
304	3.115989898
306	2.969772237
308	2.934166429
310	2.917269509
312	2.760080878
314	2.668564126
316	2.626217335
318	2.641816276
320	2.598795611
322	2.539319992
324	2.492677524
326	2.518740909
328	2.492194704
330	2.424337959
332	2.39026652
334	2.322769456
336	2.373944213
338	2.289748746
340	2.321888484
342	2.256451952
344	2.198048976
346	2.218032792
348	2.227726082
350	2.189036137
352	2.165066465
354	2.15377152
356	2.117768226
358	2.100030591
360	2.090301472
362	2.097920046
364	2.069524153
366	2.080778922
368	2.015057631
370	1.979826414
372	1.973553904
374	1.935930524
376	1.911700247
378	1.923540016
380	1.894148642
382	1.878896249
384	1.851102598
386	1.850440579
388	1.807796484
390	1.788052802
392	1.835740875
394	1.757314529
396	1.764556532
398	1.731371303
400	1.738375037
402	1.747552075
404	1.751945606
406	1.689118788
408	1.707617825
410	1.716844954
412	1.709512893
414	1.695459879
416	1.708221923
418	1.693948086
420	1.648729503
422	1.603002386
424	1.605667372
426	1.547761902
428	1.576332051
430	1.578398131
432	1.55558074
434	1.496523298
436	1.497984326
438	1.531407853
440	1.545683675
442	1.523816391
444	1.506767417
446	1.504028891
448	1.473647884
450	1.466078547
452	1.463021951
454	1.496203235
456	1.436289859
458	1.465272559
460	1.430475358
462	1.460557363
464	1.447583835
466	1.411632693
468	1.389918154
470	1.413958722
472	1.424362982
474	1.390947364
476	1.336361956
478	1.360991858
480	1.390143543
482	1.398505569
484	1.400575181
486	1.388529484
488	1.3668315
490	1.367295216
492	1.381255914
494	1.395823704
496	1.373172954
498	1.33181522
500	1.401487756
502	1.365257661
504	1.358367859
506	1.345217126
508	1.348769276
510	1.358500852
512	1.349772901
514	1.324397962
516	1.355232316
518	1.343653946
520	1.362984306
522	1.312862321
524	1.359704461
526	1.400670835
528	1.349263922
530	1.324336198
532	1.278296652
534	1.29148151
536	1.222045008
538	1.252315823
540	1.247195137
542	1.243741983
544	1.269936401
546	1.24255662
548	1.212982366
550	1.196944825
552	1.201188426
554	1.207966252
556	1.176272457
558	1.185513012
560	1.25433257
562	1.156365385
564	1.120344421
566	1.151221797
568	1.147005732
570	1.143902964
572	1.104272618
574	1.163723889
576	1.202186541
578	1.170943423
580	1.196461311
582	1.173708735
584	1.174027522
586	1.176410024
588	1.141464563
590	1.18635904
592	1.173963774
594	1.127364474
596	1.160383859
598	1.162922236
600	1.109531028
602	1.120137805
604	1.143263849
606	1.106144812
608	1.06458793
610	1.096423051
612	1.135507035
614	1.090240892
616	1.082805216
618	1.107118294
620	1.123018846
622	1.07612245
624	1.091527368
626	1.078954423
628	1.07952345
630	1.112562325
632	1.073461015
634	1.067761364
636	1.073006076
638	1.074264808
640	1.103175689
642	1.04413502
644	1.07432305
646	1.051418549
648	1.041255435
650	1.059925942
652	1.086249621
654	1.078102582
656	1.070142746
658	1.035839913
660	1.010471614
662	1.049377802
664	1.067770085
666	1.064714952
668	1.065073088
670	1.079125685
672	1.052732927
674	1.084530375
676	1.106359857
678	1.079195858
680	1.054072036
682	1.068813858
684	1.050621434
686	1.039794829
688	1.095391825
690	1.041741833
692	1.051877567
694	1.021128981
696	1.04997942
698	1.047002825
700	1.053295893
702	1.065843816
704	1.053866475
706	1.050343386
708	1.096939434
710	1.060766787
712	1.09328479
714	1.068192197
716	1.087081058
718	1.044733557
720	1.042320709
722	1.119623577
724	1.081866574
726	1.109337242
728	1.096656691
730	1.092667804
732	1.095733712
734	1.149733956
736	1.100609343
738	1.133261773
740	1.133318814
742	1.09001043
744	1.083769764
746	1.116954593
748	1.127757665
750	1.071471778
752	1.104027627
754	1.119251438
756	1.140508179
758	1.106200294
760	1.10710098
762	1.113271068
764	1.186136671
766	1.158529539
768	1.293829841
770	1.112675961
772	1.12457104
774	1.102971542
776	1.110954603
778	1.201034372
780	1.152421995
782	1.190348115
784	1.218782929
786	1.306888399
788	1.315463692
790	1.321598246
792	1.349443378
794	1.3827682
796	1.3824201
798	1.410437917
800	1.329553032
802	0.668260156
804	0.626877723
806	0.617797085
808	0.740510591
810	0.584173578
812	0.684424123
814	0.698554145
816	0.59423027
818	0.706596994
820	0.617424008
822	0.640815182
824	0.615841192
826	0.678260087
828	0.673349
830	0.582477095
832	0.717528759
834	0.633199379
836	0.593520644
838	0.674679477
840	0.622269974
842	0.605867228
844	0.638616289
846	0.668931186
848	0.617600497
850	0.623988112
852	0.648891046
854	0.594923269
856	0.641512029
858	0.645116689
860	0.633305235
862	0.628978063
864	0.650932221
866	0.593983574
868	0.634559489
870	0.631134683
