Wavelength (nm)	H2O loss (dB/m)
180	62.74090732
182	58.77840166
184	63.96491157
186	201.6693053
188	241.591229
190	151.6373001
192	91.40223993
194	59.63861473
196	42.51956695
198	33.20837993
200	27.19444118
202	23.18571996
204	20.22074446
206	17.71338685
208	15.83748009
210	14.19821519
212	12.93161375
214	11.97918126
216	11.23826805
218	10.61276304
220	10.07327474
222	9.553576135
224	9.024861689
226	8.600764569
228	8.22160097
230	8.009313578
232	7.763912113
234	7.560427461
236	7.415325884
238	7.26225013
240	7.189017673
242	7.068021998
244	6.938450858
246	6.762748241
248	6.53591275
250	6.366961306
252	6.115185421
254	5.987293536
256	5.814077407
258	5.740833322
260	5.684545482
262	5.603737171
264	5.549262107
266	5.56378119
268	5.539220789
270	5.507545509
272	5.552376997
274	5.586177891
276	5.588226121
278	5.655317563
280	5.735763203
282	5.842679536
284	5.936648977
286	6.006473294
288	5.990570009
290	5.968110259
292	5.839603028
294	5.582486254
296	5.302252379
298	5.06394133
300	4.784662761
302	4.527314208
304	4.347290015
306	4.143319947
308	4.034047213
310	3.956408626
312	3.857294864
314	3.809366369
316	3.680913581
318	3.671758965
320	3.731885437
322	3.689857931
324	3.600404384
326	3.567596518
328	3.54033691
330	3.511895087
332	3.473090233
334	3.405719109
336	3.308145286
338	3.26772558
340	3.255684048
342	3.212761219
344	3.16389612
346	3.115273244
348	3.102541924
350	3.081712754
352	3.003163314
354	3.041449972
356	2.983804184
358	3.082423158
360	3.064500356
362	3.008871115
364	3.000788134
366	2.988977792
368	3.010485559
370	3.024201396
372	3.031788206
374	2.98098267
376	2.964190131
378	2.942145404
380	2.985785823
382	2.926925316
384	2.944923823
386	2.922135116
388	2.934155903
390	2.904191174
392	2.911481766
394	2.881297155
396	2.897949128
398	2.898352638
400	2.898191302
402	2.881021493
404	2.886283417
406	2.84249991
408	2.884406184
410	2.864611904
412	2.895428903
414	2.867081045
416	2.87227073
418	2.830080335
420	2.856136801
422	2.890446239
424	2.881401736
426	2.866269896
428	2.846784889
430	2.870440918
432	2.868292937
434	2.829372169
436	2.783725448
438	2.860063812
440	2.857939022
442	2.826724442
444	2.827031043
446	2.835180296
448	2.874725189
450	2.852661694
452	2.813259255
454	2.838212705
456	2.84798615
458	2.823370401
460	2.848620287
462	2.785200374
464	2.849461559
466	2.832831248
468	2.817808206
470	2.837543141
472	2.982309199
474	2.993754413
476	2.949340321
478	2.928345641
480	2.924273729
482	2.942652686
484	2.900121414
486	2.845413716
488	2.835630094
490	2.839010194
492	2.86508931
494	2.867297441
496	2.856097579
498	2.895060734
500	2.874756634
502	2.851335388
504	2.91320919
506	2.920747176
508	2.862405786
510	2.963518079
512	2.961218555
514	2.937228188
516	2.93547341
518	2.903511629
520	2.914536812
522	3.012128867
524	2.930967165
526	2.920187141
