Waveplate angle (deg)	Power (W)
296	0.101
298	0.02444
300	0.00147
302	0.03391
304	0.1204
306	0.258
308	0.5002
310	0.7448
312	1.029
314	1.28
316	1.606
318	1.973
320	2.358
322	2.754
324	3.144
326	3.526
328	3.882
330	4.238
332	4.566
334	4.861
336	5.113
338	5.367
340	5.48
342	5.586
344	5.638
346	5.641
348	5.588
350	5.478
352	5.318
354	5.113
356	4.856
358	4.623
360	4.323
2	3.878
4	3.508
6	3.128
8	2.726
10	2.332
12	1.946
14	1.578
16	1.231
18	0.927
20	0.656
22	0.426
24	0.242
26	0.108
28	0.0265
30	0.002193
32	0.03262
34	0.1191
