l	n
500	1.331403082
511	1.330918215
522	1.330462577
533	1.330033617
544	1.329629051
555	1.329246831
566	1.328885118
577	1.328542253
588	1.328216742
599	1.32790723
610	1.32761249
621	1.327331406
632	1.327062966
643	1.326806242
654	1.326560392
665	1.326324641
676	1.326098282
687	1.325880666
698	1.325671194
709	1.325469317
720	1.32527453
731	1.325086363
742	1.324904386
753	1.324728199
764	1.324557432
775	1.324391741
786	1.324230808
797	1.324074337
808	1.323922052
819	1.323773696
830	1.323629031
841	1.323487833
852	1.323349893
863	1.323215017
874	1.323083022
885	1.322953737
896	1.322827003
907	1.322702669
918	1.322580594
929	1.322460647
940	1.322342702
951	1.322226642
962	1.322112358
973	1.321999745
984	1.321888706
995	1.321779148
1006	1.321670984
1017	1.321564132
1028	1.321458514
1039	1.321354057
1050	1.321250692
1061	1.321148352
1072	1.321046975
1083	1.320946502
1094	1.320846877
1105	1.320748048
1116	1.320649963
1127	1.320552576
1138	1.32045584
1149	1.320359714
1160	1.320264155
1171	1.320169125
1182	1.320074587
1193	1.319980506
1204	1.319886848
1215	1.319793581
1226	1.319700676
1237	1.319608103
1248	1.319515834
1259	1.319423844
1270	1.319332107
1281	1.3192406
1292	1.3191493
1303	1.319058184
1314	1.318967233
1325	1.318876427
1336	1.318785746
1347	1.318695173
1358	1.318604691
1369	1.318514283
1380	1.318423933
1391	1.318333627
1402	1.318243349
1413	1.318153088
1424	1.318062829
1435	1.317972559
1446	1.317882268
1457	1.317791943
1468	1.317701575
1479	1.317611151
1490	1.317520663
1501	1.317430101
1512	1.317339456
1523	1.317248719
1534	1.317157882
1545	1.317066936
1556	1.316975876
1567	1.316884692
1578	1.316793379
1589	1.31670193
1600	1.316610338
